,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,J22,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J23,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J24,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K01,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K13,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K14,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K15,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K16,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K17,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K18,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K19,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K21,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K22,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K23,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,K24,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L01,SYBR,,Unkn,,,37.8528572416457,37.8528572416457,0,NaN,NaN,NaN,0,60,
,L02,SYBR,,Unkn,,,37.8401065283532,37.8401065283532,0,NaN,NaN,NaN,0,60,
,L03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L13,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L14,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L15,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L16,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L17,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L18,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L19,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L21,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L22,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L23,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,L24,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M01,SYBR,,Unkn,,,36.700609338212,36.700609338212,0,NaN,NaN,NaN,0,60,
,M02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M13,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M14,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M15,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M16,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M17,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M18,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M19,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M21,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M22,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M23,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,M24,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N01,SYBR,,Unkn,,,28.8475210681353,28.8475210681353,0,NaN,NaN,NaN,0,60,
,N02,SYBR,,Unkn,,,28.8030277883381,28.8030277883381,0,NaN,NaN,NaN,0,60,
,N03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
